,UNTR.JK,AVIA.JK,BJTM.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,MPMX.JK,MTEL.JK,PGEO.JK,POWR.JK,PWON.JK,SCMA.JK,SIDO.JK,SIMP.JK,TAPG.JK,ASII.JK,BBNI.JK,BBRI.JK,BMRI.JK,INCO.JK,INDF.JK,JSMR.JK,PRDA.JK,SMGR.JK,TLKM.JK,UNVR.JK,BBCA.JK,ICBP.JK,INTP.JK,AKRA.JK,ANTM.JK,AUTO.JK,BBTN.JK,BIRD.JK,BJBR.JK,BTPS.JK,CTRA.JK,HEAL.JK,JPFA.JK,KLBF.JK,PNBN.JK,SILO.JK,SMSM.JK,SSMS.JK
TLKM.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8368128255285e-05,6.341815133346478e-05,6.221437578371508e-05,6.0958878265317055e-05,-7.122806495746117e-06,3.593699931034654e-05,4.126499818850718e-05,1.6037721368978555e-05,7.100578308228645e-05,0.00026518174139858393,1.6757224825553383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNVR.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.393381531686e-05,2.2652297199306834e-05,3.634639696755304e-05,7.603341730469045e-06,-9.833295501584313e-06,3.402945928918999e-05,1.818473453300558e-05,3.508520387843565e-05,5.308170242448038e-05,1.6757224825553383e-05,0.00046199711090583656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBCA.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001622497099465769,2.139746009211973e-05,2.5768109715232343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICBP.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139746009211973e-05,0.0002789290571938985,7.292744410104652e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTP.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5768109715232343e-05,7.292744410104652e-05,0.0003486266236224668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKRA.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039527480675285857,9.125676997483307e-05,4.90687845026054e-05,5.156094415177028e-05,4.977554853020094e-05,2.5125148202525248e-05,7.323783838510384e-05,2.3446748652646145e-05,3.517521828061221e-05,2.5367820651448496e-05,-1.452453173726955e-06,4.714748353727584e-05,1.1661557999448985e-05,-9.49831525488467e-06,-5.848524555235193e-05
ANTM.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.125676997483307e-05,0.0004246906286259728,5.6813799254793784e-05,7.275680991597338e-05,8.117286432154454e-05,2.5600894947292545e-05,6.503573465674258e-05,4.9215222039908136e-05,2.3450855335241163e-05,3.7558787980486486e-05,-6.262384222332801e-06,9.20563362311355e-05,1.1439506744371428e-05,1.2176393239619182e-05,-5.518997109317661e-05
AUTO.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.90687845026054e-05,5.6813799254793784e-05,0.0006598657191022006,0.0001354283978838208,0.00012502584071135157,2.269121485408255e-05,0.00015426118730662086,9.032980766390153e-05,4.62462221414769e-05,4.018096825957499e-05,2.767731712146742e-05,9.39774790053188e-05,0.00015507042270846436,6.978240672578965e-05,3.678932383500507e-05
BBTN.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.156094415177028e-05,7.275680991597338e-05,0.0001354283978838208,0.00035563651077016075,0.00010435507157182425,5.911819493101954e-05,0.0001374103590316103,0.0001489885574382096,2.5874350950886065e-05,5.092481426919609e-05,4.188006129358041e-05,6.010341687069624e-05,2.6030629723606468e-05,6.278273828919048e-05,-2.5389274344618844e-05
BIRD.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.977554853020094e-05,8.117286432154454e-05,0.00012502584071135157,0.00010435507157182425,0.0004489786980165053,2.5638007004350558e-05,8.473369726991608e-05,0.00011302442240654764,-9.236236916241377e-06,4.07161211932575e-05,4.17237800175351e-05,8.086921389381606e-05,3.814626894487939e-05,3.779118009100959e-05,-5.627476946004568e-05
BJBR.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5125148202525248e-05,2.5600894947292545e-05,2.269121485408255e-05,5.911819493101954e-05,2.5638007004350558e-05,7.448684714588291e-05,5.8389155389993366e-05,3.751025930460507e-05,1.0286599692413501e-05,1.536489788515351e-05,2.0037600629169655e-05,2.4448458222109755e-05,-3.5574051860476015e-06,2.4736230486546856e-05,2.084126385800791e-05
BTPS.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.323783838510384e-05,6.503573465674258e-05,0.00015426118730662086,0.0001374103590316103,8.473369726991608e-05,5.8389155389993366e-05,0.0005515571773558905,0.00012726102210005715,4.185450231955079e-05,8.358332848608659e-05,3.459849274644646e-05,6.7133210695353e-05,4.549685580661399e-05,6.576714135451984e-05,-8.70742439692083e-06
CTRA.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3446748652646145e-05,4.9215222039908136e-05,9.032980766390153e-05,0.0001489885574382096,0.00011302442240654764,3.751025930460507e-05,0.00012726102210005715,0.0004485792969938484,2.5824433473318087e-05,5.6823062189856795e-05,6.0983596244551584e-05,9.657307810197714e-05,2.7579523164868138e-05,3.465460650484549e-05,-2.5846127599207567e-05
HEAL.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.517521828061221e-05,2.3450855335241163e-05,4.62462221414769e-05,2.5874350950886065e-05,-9.236236916241377e-06,1.0286599692413501e-05,4.185450231955079e-05,2.5824433473318087e-05,0.0004125680807471934,4.6604349911698456e-05,3.74026919844051e-05,1.3332611214506888e-06,7.1105382917382e-05,-1.3511044672931515e-05,2.7468443401465865e-05
JPFA.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5367820651448496e-05,3.7558787980486486e-05,4.018096825957499e-05,5.092481426919609e-05,4.07161211932575e-05,1.536489788515351e-05,8.358332848608659e-05,5.6823062189856795e-05,4.6604349911698456e-05,0.0004888369137824555,4.880754862914192e-05,4.7208959875185906e-05,8.567999206745738e-05,1.8947643025142285e-05,6.587561855494055e-05
KLBF.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.452453173726955e-06,-6.262384222332801e-06,2.767731712146742e-05,4.188006129358041e-05,4.17237800175351e-05,2.0037600629169655e-05,3.459849274644646e-05,6.0983596244551584e-05,3.74026919844051e-05,4.880754862914192e-05,0.0003043686359047749,3.077260088327616e-05,6.296640012156664e-05,4.310790669058785e-05,3.740570153596409e-05
PNBN.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714748353727584e-05,9.20563362311355e-05,9.39774790053188e-05,6.010341687069624e-05,8.086921389381606e-05,2.4448458222109755e-05,6.7133210695353e-05,9.657307810197714e-05,1.3332611214506888e-06,4.7208959875185906e-05,3.077260088327616e-05,0.0006397179498139274,-1.0718847463385886e-05,8.133749629141857e-06,-2.7020084066495236e-05
SILO.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1661557999448985e-05,1.1439506744371428e-05,0.00015507042270846436,2.6030629723606468e-05,3.814626894487939e-05,-3.5574051860476015e-06,4.549685580661399e-05,2.7579523164868138e-05,7.1105382917382e-05,8.567999206745738e-05,6.296640012156664e-05,-1.0718847463385886e-05,0.0009890538217508555,5.115267772097678e-05,0.00010416990708223553
SMSM.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.49831525488467e-06,1.2176393239619182e-05,6.978240672578965e-05,6.278273828919048e-05,3.779118009100959e-05,2.4736230486546856e-05,6.576714135451984e-05,3.465460650484549e-05,-1.3511044672931515e-05,1.8947643025142285e-05,4.310790669058785e-05,8.133749629141857e-06,5.115267772097678e-05,0.0005769328945423195,9.936005653056461e-06
SSMS.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.848524555235193e-05,-5.518997109317661e-05,3.678932383500507e-05,-2.5389274344618844e-05,-5.627476946004568e-05,2.084126385800791e-05,-8.70742439692083e-06,-2.5846127599207567e-05,2.7468443401465865e-05,6.587561855494055e-05,3.740570153596409e-05,-2.7020084066495236e-05,0.00010416990708223553,9.936005653056461e-06,0.0012726019070314414
