,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
BJBR.JK,2.5125148202525248e-05,2.5600894947292545e-05,1.4143610355645338e-05,2.269121485408255e-05,1.118175059835926e-05,2.469004396483214e-05,4.2081589163135995e-05,5.3054851804180234e-05,5.911819493101954e-05,2.5638007004350558e-05,7.448684714588291e-05,2.6783184825921584e-05,4.376516101774833e-05,5.8389155389993366e-05,3.751025930460507e-05,2.3839933801194518e-05,2.093354814846448e-05,4.30728764660237e-05,2.7364122282268303e-05,1.0286599692413501e-05,5.237127746287167e-06,1.3114401659584595e-05,6.496400403267669e-06,1.969296004791023e-05,1.536489788515351e-05,2.4663522364394616e-05,2.0037600629169655e-05,2.4177523032999312e-05,1.902208305264967e-05,2.209544764019728e-05,2.4448458222109755e-05,1.847665877461017e-06,2.378492732923679e-05,3.0235068627003973e-05,3.856710295169427e-05,4.985965156008963e-06,-3.5574051860476015e-06,1.7171532477617583e-05,4.177732191624392e-05,2.4736230486546856e-05,2.084126385800791e-05,2.6752462782936414e-05,2.115132500094235e-05,2.1445573775896315e-05,1.8050645775244075e-05
BJTM.JK,3.0169360199979204e-05,2.7867243871821154e-05,3.4586981031693134e-05,4.35580853722316e-05,1.1103642381452343e-05,2.6999679223303293e-05,7.404100245782723e-05,7.036412673242115e-05,7.26139853604585e-05,2.6157935976711176e-05,2.6783184825921584e-05,0.00010291547519820655,5.7707503481985516e-05,5.2961441277841955e-05,5.942601900808683e-05,-1.6883660399922008e-07,4.012065983779261e-05,4.8460536446308104e-05,6.313597201973235e-05,1.298154215362756e-05,3.624159800446503e-05,2.1171870048605808e-05,2.015769275209223e-05,1.8589015061322565e-05,2.031261772614303e-05,2.9226171299739267e-05,1.361002633148912e-05,2.2410566097958333e-05,1.6135062905083066e-05,4.012458295793147e-05,3.3064278692065845e-05,1.3718731835137645e-05,2.9351299688619075e-05,3.616248262776077e-05,2.7122349570512943e-05,2.174506422163889e-05,5.9200864090485346e-06,1.6850149749711258e-05,5.855879535769966e-05,-4.6115558994889974e-06,-1.162639944568012e-05,8.030376919955518e-06,2.840222371117687e-05,4.511202356506748e-05,8.357433368725784e-06
BMRI.JK,5.750429069498362e-05,4.12927935829539e-05,7.297770361833393e-05,6.960438230522398e-05,5.25351878160153e-05,0.00011015192169929684,0.0001803221528727229,0.00015898476786083818,0.0001330036656090726,8.390229778068704e-05,4.376516101774833e-05,5.7707503481985516e-05,0.000292756566853719,0.00010218107543035257,0.00011720130418852221,1.8945943723114075e-05,5.4853660350951985e-05,6.101915773555954e-05,6.35447996609196e-05,3.661315294089711e-06,5.445778201958975e-05,2.0835477489996218e-05,3.4883454086446556e-05,4.5496540050336014e-05,3.636947660510166e-05,5.5845518073079965e-05,3.7176510503858836e-05,3.941895095036122e-05,1.1835913144728522e-05,5.242017534121203e-05,6.541208646525372e-05,2.0245888763264996e-05,6.224888208178557e-05,8.071292607670436e-05,8.424390802624034e-06,4.07110665659241e-05,3.3390973440797816e-06,1.7942073703345468e-05,7.686990776155268e-05,4.8786982330222675e-05,-3.674599243480058e-05,3.472015515692865e-05,6.0958878265317055e-05,2.6086133441674364e-05,7.603341730469045e-06
BTPS.JK,7.323783838510384e-05,6.503573465674258e-05,0.0001034976110736177,0.00015426118730662086,3.0045073855697377e-05,8.032718943885706e-05,0.00010423225461623921,0.00013421410036381599,0.0001374103590316103,8.473369726991608e-05,5.8389155389993366e-05,5.2961441277841955e-05,0.00010218107543035257,0.0005515571773558905,0.00012726102210005715,-5.4838702662386215e-06,5.869355888114349e-05,0.00017106452381474455,6.105625239346329e-05,4.185450231955079e-05,3.165073479871958e-05,2.9735834065984714e-05,2.0117170560044963e-05,6.625630325903275e-05,8.358332848608659e-05,9.491219358979354e-05,3.459849274644646e-05,4.796690638564494e-05,5.356665876209748e-05,4.503546940794551e-05,6.7133210695353e-05,2.433145871752634e-05,4.230842632952211e-05,0.00011738528911405201,0.00014049870820777354,3.763699951062588e-05,4.549685580661399e-05,3.9034734968865905e-05,0.00010210137081398099,6.576714135451984e-05,-8.70742439692083e-06,5.444713665675898e-05,8.229208340929816e-05,5.119123740994379e-05,6.458297166600928e-05
CTRA.JK,2.3446748652646145e-05,4.9215222039908136e-05,7.841182481392744e-05,9.032980766390153e-05,5.5942133614359086e-05,6.752102015535723e-05,0.00011008274953990767,0.00010901187345906668,0.0001489885574382096,0.00011302442240654764,3.751025930460507e-05,5.942601900808683e-05,0.00011720130418852221,0.00012726102210005715,0.0004485792969938484,3.234863465832666e-05,1.668769792097625e-05,7.57664230980255e-05,6.283356035053785e-05,2.5824433473318087e-05,5.649844844661785e-05,1.3514286955073362e-05,7.285237757520145e-05,5.743811929074859e-05,5.6823062189856795e-05,9.093822530906375e-05,6.0983596244551584e-05,3.4785684681009175e-05,5.550404537631354e-05,4.7159003852519954e-05,9.657307810197714e-05,9.235075461028988e-07,5.4392553725097035e-05,0.0001811683091517324,3.389956415240908e-05,3.1519125806036725e-05,2.7579523164868138e-05,2.8905757282949397e-05,9.500444814426927e-05,3.465460650484549e-05,-2.5846127599207567e-05,4.159477970254609e-05,3.0334555389631455e-05,5.930671275829439e-05,4.333705142015311e-05
DSNG.JK,2.42016337644474e-05,3.4795950908429236e-05,-7.936490086841648e-06,5.261494399335984e-05,-6.410418545476398e-05,2.2545744289202005e-06,5.346976413360359e-06,-2.0616420099500438e-05,-5.617281849887894e-06,7.462845068641698e-05,2.3839933801194518e-05,-1.6883660399922008e-07,1.8945943723114075e-05,-5.4838702662386215e-06,3.234863465832666e-05,0.0007711778490557507,3.934035899439217e-05,1.266785681013973e-05,9.335050071093473e-05,4.478421236201204e-05,9.51933746453753e-06,1.5748381519769924e-05,6.44465677878295e-05,1.143941404100886e-05,3.674910746934337e-05,-3.659047399618403e-05,1.6690037993093935e-05,2.292614887488683e-05,2.7800864125243716e-05,-6.300976221839758e-05,0.00010911949720551043,-1.1449271274969905e-05,2.8607987286479705e-05,4.170457393384277e-05,1.1595785228600863e-05,4.855627395489832e-05,4.8699718066086195e-05,8.345373329310525e-05,3.720966233715521e-05,-1.2992592456802513e-05,7.40234262228822e-05,0.0002374623285551386,-4.6418906918048945e-06,1.6470889192335045e-05,5.924421232936013e-05
ELSA.JK,0.00011175844390654119,7.237184598770654e-05,3.612717939462376e-05,9.120321542489738e-05,3.900053877819916e-05,3.9382873767656085e-05,3.804987827735192e-05,5.451287650576615e-05,5.433371625754613e-05,6.057918745649269e-05,2.093354814846448e-05,4.012065983779261e-05,5.4853660350951985e-05,5.869355888114349e-05,1.668769792097625e-05,3.934035899439217e-05,0.00035458934496113777,5.108977723473773e-05,9.212763742375583e-05,1.907932760477026e-05,9.195778286927558e-06,6.514804019129256e-05,1.784082570916993e-05,2.0845372840866323e-05,5.8449300758190856e-05,4.5195820981538195e-05,1.6187138460176392e-05,4.3782936020877684e-05,8.373485677143648e-06,6.236459118365989e-05,3.356548980972782e-05,2.6267352493175942e-05,4.779558078449835e-05,2.1965017581548702e-05,6.218411290363703e-05,4.849729175925144e-05,4.2699394418569e-05,4.447411807263871e-05,5.3053566042081935e-05,3.931033689104066e-05,-1.611890063238944e-05,4.3897892199543774e-05,1.782502555506197e-05,0.00010684514889084332,2.4156863993725113e-05
EMTK.JK,3.920873864411011e-05,0.00012478726151375207,7.70004695871644e-05,0.00017915688611657842,3.508419361551652e-05,6.216329267164269e-05,8.29610612155992e-05,0.00011841997793360812,0.00013527292096482364,0.00010550879860164096,4.30728764660237e-05,4.8460536446308104e-05,6.101915773555954e-05,0.00017106452381474455,7.57664230980255e-05,1.266785681013973e-05,5.108977723473773e-05,0.0009648223554598701,0.0001490706378121206,4.2436525614564376e-05,2.579279778430277e-05,8.071450308599467e-05,1.4432118159157514e-05,5.936313667225837e-05,8.745205217095945e-05,9.313360686560726e-05,4.594223172572124e-05,4.934168458251727e-05,5.621138000797221e-05,-9.002170330877047e-06,0.00014429147589618366,3.1812615551618256e-05,7.272558344857024e-05,0.00010489818463573447,0.0004340453383666101,3.634081851137436e-05,6.45198115188624e-05,5.494654180646105e-05,7.864717503132005e-05,5.549798845459282e-05,3.872718026476439e-05,7.588856431296596e-05,6.322665868546191e-05,3.0819422152645676e-05,9.118303442702549e-05
ESSA.JK,0.00010345352965383434,0.00016713785757701874,6.438356186166257e-05,6.270950007643008e-05,5.044482584377864e-05,1.5553733997028564e-05,1.931769743120282e-05,2.4237273237712602e-05,5.80781655179105e-05,8.531445599040104e-05,2.7364122282268303e-05,6.313597201973235e-05,6.35447996609196e-05,6.105625239346329e-05,6.283356035053785e-05,9.335050071093473e-05,9.212763742375583e-05,0.0001490706378121206,0.0010801780909379785,4.214916169064152e-05,-1.7412587418190308e-05,0.00019673051833430427,3.992778268801969e-05,4.947946897371619e-05,5.608837231031529e-06,4.80914603458267e-05,-6.318547984694314e-05,4.928237688714928e-05,3.113818719432413e-05,4.9432371137531275e-05,0.00010953361686241943,2.730755992444262e-06,5.122642143136835e-06,4.100956350898575e-05,0.00011903611968410657,5.902053774068234e-05,2.5095115820483395e-06,5.171601859404566e-05,5.642029176810427e-05,2.2291980095035688e-06,-0.00010096250709047111,6.312514722347885e-05,2.6121401830566196e-05,0.00011558336499543184,2.8923122928888437e-05
HEAL.JK,3.517521828061221e-05,2.3450855335241163e-05,2.871891557853549e-05,4.62462221414769e-05,9.502717080907989e-06,1.1640531962985245e-05,-1.0556337833920746e-05,-1.1750452394242358e-05,2.5874350950886065e-05,-9.236236916241377e-06,1.0286599692413501e-05,1.298154215362756e-05,3.661315294089711e-06,4.185450231955079e-05,2.5824433473318087e-05,4.478421236201204e-05,1.907932760477026e-05,4.2436525614564376e-05,4.214916169064152e-05,0.0004125680807471934,3.165597695725633e-05,3.84381376360475e-05,3.155033368324e-05,2.6013966249420106e-05,4.6604349911698456e-05,4.400868043462187e-05,3.74026919844051e-05,1.5577194246010637e-05,-7.983605762317108e-06,1.720792591967745e-05,1.3332611214506888e-06,5.956351562055378e-06,3.746540878303221e-05,1.0631117089753578e-05,7.834172296074533e-05,4.3249772808042303e-05,7.1105382917382e-05,1.1457015214814579e-05,4.306840311140064e-05,-1.3511044672931515e-05,2.7468443401465865e-05,3.493024613315336e-05,2.001331681359812e-05,4.221982823842902e-05,4.8848383160869485e-05
